"Município";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"150277 Curionópolis";-;-;-;-;17846;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17846
"150280 Curralinho";-;-;-;-;34994;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34994
"150285 Curuá";-;-;-;-;14587;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14587
"150290 Curuçá";-;-;-;-;40584;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40584
"150293 Dom Eliseu";-;-;-;-;60469;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60469
"150295 Eldorado do Carajás";-;-;-;-;33940;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33940
"150300 Faro";-;-;-;-;7070;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7070
"150304 Floresta do Araguaia";-;-;-;-;20525;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20525
"150307 Garrafão do Norte";-;-;-;-;26111;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26111
"150309 Goianésia do Pará";-;-;-;-;41081;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41081
"150310 Gurupá";-;-;-;-;33755;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33755
"150320 Igarapé-Açu";-;-;-;-;39023;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39023
"150330 Igarapé-Miri";-;-;-;-;63036;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63036
"150340 Inhangapi";-;-;-;-;11861;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11861
"150345 Ipixuna do Pará";-;-;-;-;65625;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65625
"150350 Irituia";-;-;-;-;32595;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32595
"150360 Itaituba";-;-;-;-;101395;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101395
"150370 Itupiranga";-;-;-;-;53355;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53355
"150375 Jacareacanga";-;-;-;-;7590;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7590
"150380 Jacundá";-;-;-;-;59842;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59842
"150390 Juruti";-;-;-;-;58960;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58960
"150400 Limoeiro do Ajuru";-;-;-;-;29282;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29282
"150405 Mãe do Rio";-;-;-;-;30235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30235
"150410 Magalhães Barata";-;-;-;-;8573;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8573
"150420 Marabá";-;-;-;-;283542;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;283542
"150430 Maracanã";-;-;-;-;29516;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29516
"150440 Marapanim";-;-;-;-;28450;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28450
"150442 Marituba";-;-;-;-;133685;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;133685
"150445 Medicilândia";-;-;-;-;31975;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31975
"150450 Melgaço";-;-;-;-;27890;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27890
"150460 Mocajuba";-;-;-;-;31530;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31530
"150470 Moju";-;-;-;-;83182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83182
"150475 Mojuí dos Campos";-;-;-;-;16184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16184
"150480 Monte Alegre";-;-;-;-;58162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58162
"150490 Muaná";-;-;-;-;40906;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40906
"150495 Nova Esperança do Piriá";-;-;-;-;21444;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21444
"150497 Nova Ipixuna";-;-;-;-;16854;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16854
"150500 Nova Timboteua";-;-;-;-;15506;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15506
"150503 Novo Progresso";-;-;-;-;25766;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25766
"150506 Novo Repartimento";-;-;-;-;77214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77214
"150510 Óbidos";-;-;-;-;52306;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52306
"150520 Oeiras do Pará";-;-;-;-;32850;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32850
"150530 Oriximiná";-;-;-;-;74016;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74016
"150540 Ourém";-;-;-;-;17961;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17961
"150543 Ourilândia do Norte";-;-;-;-;33335;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33335
"150548 Pacajá";-;-;-;-;48414;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48414
"150549 Palestina do Pará";-;-;-;-;7582;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7582
"150550 Paragominas";-;-;-;-;114503;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114503
"150553 Parauapebas";-;-;-;-;213576;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;213576
"150555 Pau D'Arco";-;-;-;-;5410;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5410
"150560 Peixe-Boi";-;-;-;-;8081;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8081
"150563 Piçarra";-;-;-;-;12979;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12979
"150565 Placas";-;-;-;-;31659;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31659
"150570 Ponta de Pedras";-;-;-;-;31549;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31549
"150580 Portel";-;-;-;-;62945;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62945
"150590 Porto de Moz";-;-;-;-;41801;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41801
"150600 Prainha";-;-;-;-;29846;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29846
"150610 Primavera";-;-;-;-;10857;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10857
"150611 Quatipuru";-;-;-;-;13702;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13702
"150613 Redenção";-;-;-;-;85563;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85563
"150616 Rio Maria";-;-;-;-;18201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18201
"150618 Rondon do Pará";-;-;-;-;52803;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52803
"150619 Rurópolis";-;-;-;-;51500;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51500
"150620 Salinópolis";-;-;-;-;40922;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40922
"150630 Salvaterra";-;-;-;-;24075;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24075
"150635 Santa Bárbara do Pará";-;-;-;-;21449;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21449
"150640 Santa Cruz do Arari";-;-;-;-;10314;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10314
"150650 Santa Izabel do Pará";-;-;-;-;71837;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71837
"150655 Santa Luzia do Pará";-;-;-;-;19843;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19843
"150658 Santa Maria das Barreiras";-;-;-;-;21850;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21850
"150660 Santa Maria do Pará";-;-;-;-;24995;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24995
"150670 Santana do Araguaia";-;-;-;-;74419;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74419
"150680 Santarém";-;-;-;-;306480;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306480
"150690 Santarém Novo";-;-;-;-;6753;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6753
"150700 Santo Antônio do Tauá";-;-;-;-;31918;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31918
"150710 São Caetano de Odivelas";-;-;-;-;18129;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18129
"150715 São Domingos do Araguaia";-;-;-;-;25753;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25753
"150720 São Domingos do Capim";-;-;-;-;32139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32139
"150730 São Félix do Xingu";-;-;-;-;132138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132138
"150740 São Francisco do Pará";-;-;-;-;15930;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15930
"150745 São Geraldo do Araguaia";-;-;-;-;24705;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24705
"150746 São João da Ponta";-;-;-;-;6217;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6217
"150747 São João de Pirabas";-;-;-;-;23244;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23244
"150750 São João do Araguaia";-;-;-;-;14051;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14051
"150760 São Miguel do Guamá";-;-;-;-;59632;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59632
"150770 São Sebastião da Boa Vista";-;-;-;-;26974;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26974
"150775 Sapucaia";-;-;-;-;6009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6009
"150780 Senador José Porfírio";-;-;-;-;11480;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11480
"150790 Soure";-;-;-;-;25565;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25565
"150795 Tailândia";-;-;-;-;108969;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;108969
"150796 Terra Alta";-;-;-;-;11847;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11847
"150797 Terra Santa";-;-;-;-;18917;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18917
"150800 Tomé-Açu";-;-;-;-;64030;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64030
"150803 Tracuateua";-;-;-;-;31257;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31257
"150805 Trairão";-;-;-;-;19168;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19168
"150808 Tucumã";-;-;-;-;40136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40136
"150810 Tucuruí";-;-;-;-;115144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115144
"150812 Ulianópolis";-;-;-;-;60761;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60761
"150815 Uruará";-;-;-;-;45435;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45435
"150820 Vigia";-;-;-;-;54172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54172
"150830 Viseu";-;-;-;-;61751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61751
"150835 Vitória do Xingu";-;-;-;-;15279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15279
"150840 Xinguara";-;-;-;-;45086;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45086
"160010 Amapá";-;-;-;-;-;9187;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9187
"160020 Calçoene";-;-;-;-;-;11306;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11306
"160021 Cutias";-;-;-;-;-;6101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6101
"160023 Ferreira Gomes";-;-;-;-;-;7967;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7967
"160025 Itaubal";-;-;-;-;-;5617;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5617
"160027 Laranjal do Jari";-;-;-;-;-;51362;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51362
"160030 Macapá";-;-;-;-;-;512902;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;512902
"160040 Mazagão";-;-;-;-;-;22053;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22053
"160050 Oiapoque";-;-;-;-;-;27906;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27906
"160015 Pedra Branca do Amapari";-;-;-;-;-;17067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17067
"160053 Porto Grande";-;-;-;-;-;22452;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22452
"160055 Pracuúba";-;-;-;-;-;5246;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5246
"160060 Santana";-;-;-;-;-;123096;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;123096
"160005 Serra do Navio";-;-;-;-;-;5488;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5488
"160070 Tartarugalzinho";-;-;-;-;-;17769;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17769
"160080 Vitória do Jari";-;-;-;-;-;16254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16254
"170025 Abreulândia";-;-;-;-;-;-;2594;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2594
"170030 Aguiarnópolis";-;-;-;-;-;-;6892;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6892
"170035 Aliança do Tocantins";-;-;-;-;-;-;5346;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5346
"170040 Almas";-;-;-;-;-;-;6979;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6979
"170070 Alvorada";-;-;-;-;-;-;8396;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8396
"170100 Ananás";-;-;-;-;-;-;9492;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9492
"170105 Angico";-;-;-;-;-;-;3454;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3454
"170110 Aparecida do Rio Negro";-;-;-;-;-;-;4848;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4848
"170130 Aragominas";-;-;-;-;-;-;5731;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5731
"170190 Araguacema";-;-;-;-;-;-;7155;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7155
"170200 Araguaçu";-;-;-;-;-;-;8467;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8467
"170210 Araguaína";-;-;-;-;-;-;183381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183381
"170215 Araguanã";-;-;-;-;-;-;5793;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5793
"170220 Araguatins";-;-;-;-;-;-;36170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36170
"170230 Arapoema";-;-;-;-;-;-;6616;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6616
"170240 Arraias";-;-;-;-;-;-;10534;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10534
"170255 Augustinópolis";-;-;-;-;-;-;18643;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18643
"170270 Aurora do Tocantins";-;-;-;-;-;-;3783;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3783
"170290 Axixá do Tocantins";-;-;-;-;-;-;9787;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9787
"170300 Babaçulândia";-;-;-;-;-;-;10666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10666
"170305 Bandeirantes do Tocantins";-;-;-;-;-;-;3592;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3592
"170307 Barra do Ouro";-;-;-;-;-;-;4632;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4632
"170310 Barrolândia";-;-;-;-;-;-;5651;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5651
"170320 Bernardo Sayão";-;-;-;-;-;-;4448;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4448
"170330 Bom Jesus do Tocantins";-;-;-;-;-;-;5008;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5008
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;2211;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2211
"170370 Brejinho de Nazaré";-;-;-;-;-;-;5519;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5519
"170380 Buriti do Tocantins";-;-;-;-;-;-;11497;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11497
"170382 Cachoeirinha";-;-;-;-;-;-;2284;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2284
"170384 Campos Lindos";-;-;-;-;-;-;10312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10312
"170386 Cariri do Tocantins";-;-;-;-;-;-;4441;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4441
"170388 Carmolândia";-;-;-;-;-;-;2603;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2603
"170389 Carrasco Bonito";-;-;-;-;-;-;4130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4130
"170390 Caseara";-;-;-;-;-;-;5442;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5442
"170410 Centenário";-;-;-;-;-;-;2936;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2936
"170510 Chapada da Natividade";-;-;-;-;-;-;3331;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3331
"170460 Chapada de Areia";-;-;-;-;-;-;1410;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1410
"170550 Colinas do Tocantins";-;-;-;-;-;-;35851;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35851
"171670 Colméia";-;-;-;-;-;-;8141;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8141
"170555 Combinado";-;-;-;-;-;-;4861;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4861
"170560 Conceição do Tocantins";-;-;-;-;-;-;4087;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4087
"170600 Couto Magalhães";-;-;-;-;-;-;5639;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5639
"170610 Cristalândia";-;-;-;-;-;-;7278;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7278
"170625 Crixás do Tocantins";-;-;-;-;-;-;1735;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1735
"170650 Darcinópolis";-;-;-;-;-;-;6174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6174
"170700 Dianópolis";-;-;-;-;-;-;22424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22424
"170710 Divinópolis do Tocantins";-;-;-;-;-;-;6943;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6943
"170720 Dois Irmãos do Tocantins";-;-;-;-;-;-;7185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7185
"170730 Dueré";-;-;-;-;-;-;4686;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4686
"170740 Esperantina";-;-;-;-;-;-;11139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11139
"170755 Fátima";-;-;-;-;-;-;3830;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3830
"170765 Figueirópolis";-;-;-;-;-;-;5243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5243
"170770 Filadélfia";-;-;-;-;-;-;8874;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8874
"170820 Formoso do Araguaia";-;-;-;-;-;-;18399;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18399
"170825 Fortaleza do Tabocão";-;-;-;-;-;-;2602;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2602
"170830 Goianorte";-;-;-;-;-;-;5130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5130
"170900 Goiatins";-;-;-;-;-;-;13095;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13095
"170930 Guaraí";-;-;-;-;-;-;26165;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26165
"170950 Gurupi";-;-;-;-;-;-;87545;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87545
"170980 Ipueiras";-;-;-;-;-;-;2052;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2052
"171050 Itacajá";-;-;-;-;-;-;7452;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7452
"171070 Itaguatins";-;-;-;-;-;-;5832;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5832
"171090 Itapiratins";-;-;-;-;-;-;3795;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3795
"171110 Itaporã do Tocantins";-;-;-;-;-;-;2420;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2420
"171150 Jaú do Tocantins";-;-;-;-;-;-;3878;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3878
"171180 Juarina";-;-;-;-;-;-;2184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2184
"171190 Lagoa da Confusão";-;-;-;-;-;-;13676;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13676
"171195 Lagoa do Tocantins";-;-;-;-;-;-;4393;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4393
"171200 Lajeado";-;-;-;-;-;-;3167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3167
"171215 Lavandeira";-;-;-;-;-;-;1954;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1954
"171240 Lizarda";-;-;-;-;-;-;3733;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3733
"171245 Luzinópolis";-;-;-;-;-;-;3154;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3154
"171250 Marianópolis do Tocantins";-;-;-;-;-;-;5254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5254
"171270 Mateiros";-;-;-;-;-;-;2729;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2729
"171280 Maurilândia do Tocantins";-;-;-;-;-;-;3448;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3448
"171320 Miracema do Tocantins";-;-;-;-;-;-;17936;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17936
"171330 Miranorte";-;-;-;-;-;-;13493;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13493
"171360 Monte do Carmo";-;-;-;-;-;-;8066;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8066
